date,direction,callsign_icao,flight_iata,airline,origin_icao,destination_icao,scheduled_utc,actual_utc,opensky_firstseen_utc,opensky_lastseen_utc,delay_minutes,status,terminal,gate,icao24,data_quality_delta_min,quality_flags,reason
2026-07-18,dep,THY162,,,LTFM,,,,2026-07-18T00:05:28+00:00,2026-07-18T08:36:09+00:00,,,,,4bb0e1,,,no_schedule_match
2026-07-18,dep,MSR746,,,LTFM,HE32,,,2026-07-18T01:01:25+00:00,2026-07-18T02:26:42+00:00,,,,,0101b7,,,no_schedule_match
2026-07-18,dep,AFL813,,,LTFM,,,,2026-07-18T01:24:17+00:00,2026-07-18T05:12:37+00:00,,,,,15201a,,,no_schedule_match
2026-07-18,dep,FKH2902,,,LTFM,,,,2026-07-18T01:29:11+00:00,2026-07-18T03:26:35+00:00,,,,,507cb0,,,no_schedule_match
2026-07-18,dep,THY848,,,LTFM,OSDI,,,2026-07-18T01:36:16+00:00,2026-07-18T03:07:16+00:00,,,,,4bab23,,,no_schedule_match
2026-07-18,dep,MNS503,,,LTFM,,,,2026-07-18T01:48:51+00:00,2026-07-18T03:55:59+00:00,,,,,46c28d,,,no_schedule_match
2026-07-18,dep,TAR217,,,LTFM,,,,2026-07-18T02:29:20+00:00,2026-07-18T04:29:27+00:00,,,,,02a262,,,no_schedule_match
2026-07-18,dep,THY5KX,,,LTFM,LTAE,,,2026-07-18T03:07:46+00:00,2026-07-18T03:36:41+00:00,,,,,4ba914,,,no_schedule_match
2026-07-18,dep,THY5WG,,,LTFM,LTAC,,,2026-07-18T03:11:18+00:00,2026-07-18T03:41:46+00:00,,,,,4bb050,,,no_schedule_match
2026-07-18,dep,THY164,,,LTFM,VLLN,,,2026-07-18T03:13:09+00:00,2026-07-18T11:19:22+00:00,,,,,4bb103,,,no_schedule_match
2026-07-18,dep,THY4KM,,,LTFM,LTAE,,,2026-07-18T03:15:30+00:00,2026-07-18T03:43:18+00:00,,,,,4baa09,,,no_schedule_match
2026-07-18,dep,THY2BK,,,LTFM,,,,2026-07-18T03:21:29+00:00,2026-07-18T03:46:06+00:00,,,,,4bab45,,,no_schedule_match
2026-07-18,dep,THY8PM,,,LTFM,LTAE,,,2026-07-18T03:23:22+00:00,2026-07-18T03:52:48+00:00,,,,,4bb04d,,,no_schedule_match
2026-07-18,dep,THY6MU,,,LTFM,,,,2026-07-18T03:27:46+00:00,2026-07-18T03:43:20+00:00,,,,,4baa0b,,,no_schedule_match
2026-07-18,dep,THY3CH,,,LTFM,LTAD,,,2026-07-18T03:34:42+00:00,2026-07-18T04:05:20+00:00,,,,,4ba993,,,no_schedule_match
2026-07-18,dep,THY9JW,,,LTFM,,,,2026-07-18T03:38:22+00:00,2026-07-18T03:52:25+00:00,,,,,4baac5,,,no_schedule_match
2026-07-18,dep,THY7BH,,,LTFM,,,,2026-07-18T03:42:16+00:00,2026-07-18T06:22:46+00:00,,,,,4bb074,,,no_schedule_match
2026-07-18,dep,THY1SF,,,LTFM,LTAE,,,2026-07-18T03:43:08+00:00,2026-07-18T04:13:43+00:00,,,,,4ba9b0,,,no_schedule_match
2026-07-18,dep,THY6HZ,,,LTFM,LTAB,,,2026-07-18T03:46:47+00:00,2026-07-18T04:15:53+00:00,,,,,4ba910,,,no_schedule_match
2026-07-18,dep,THY7FY,,,LTFM,LTAC,,,2026-07-18T03:47:30+00:00,2026-07-18T04:17:29+00:00,,,,,4baac6,,,no_schedule_match
2026-07-18,dep,THY5QM,,,LTFM,LTAE,,,2026-07-18T03:48:35+00:00,2026-07-18T04:15:53+00:00,,,,,4ba90b,,,no_schedule_match
2026-07-18,dep,THY3MD,,,LTFM,,,,2026-07-18T03:49:58+00:00,2026-07-18T04:25:43+00:00,,,,,4baac7,,,no_schedule_match
2026-07-18,dep,THY70A,,,LTFM,LTAY,,,2026-07-18T03:51:28+00:00,2026-07-18T04:32:35+00:00,,,,,4ba999,,,no_schedule_match
2026-07-18,dep,THY88H,,,LTFM,UB14,,,2026-07-18T03:57:56+00:00,2026-07-18T05:51:12+00:00,,,,,4bb28b,,,no_schedule_match
2026-07-18,dep,DAH3019,,,LTFM,,,,2026-07-18T04:03:29+00:00,2026-07-18T06:41:49+00:00,,,,,0a0087,,,no_schedule_match
2026-07-18,dep,THY641,,,LTFM,,,,2026-07-18T04:08:21+00:00,2026-07-18T05:30:01+00:00,,,,,4bab25,,,no_schedule_match
2026-07-18,dep,THY6553,,,LTFM,,,,2026-07-18T04:12:40+00:00,2026-07-18T08:14:49+00:00,,,,,4bd8ac,,,no_schedule_match
2026-07-18,dep,THY6NP,,,LTFM,OJAI,,,2026-07-18T04:14:42+00:00,2026-07-18T06:11:35+00:00,,,,,4bb267,,,no_schedule_match
