date,direction,callsign_icao,flight_iata,airline,origin_icao,destination_icao,scheduled_utc,actual_utc,opensky_firstseen_utc,opensky_lastseen_utc,delay_minutes,avs_delay_minutes,status,terminal,gate,icao24,data_quality_delta_min,quality_flags,reason
2026-07-23,dep,THY90L,,,LTFM,LW67,,,2026-07-23T05:09:19+00:00,2026-07-23T06:01:33+00:00,,,,,,4baad5,,,no_schedule_match
2026-07-23,dep,THY1SL,,,LTFM,,,,2026-07-23T05:12:25+00:00,2026-07-23T07:35:35+00:00,,,,,,4baa6d,,,no_schedule_match
2026-07-23,dep,THY844,,,LTFM,LTAE,,,2026-07-23T05:12:46+00:00,2026-07-23T05:41:18+00:00,,,,,,4bab26,,,no_schedule_match
2026-07-23,dep,THY1NK,,,LTFM,,,,2026-07-23T05:15:44+00:00,2026-07-23T06:15:05+00:00,,,,,,4baa55,,,no_schedule_match
2026-07-23,dep,THY1WU,,,LTFM,LTCD,,,2026-07-23T05:16:02+00:00,2026-07-23T06:18:44+00:00,,,,,,4bb321,,,no_schedule_match
2026-07-23,dep,THY3UZ,,,LTFM,,,,2026-07-23T05:17:28+00:00,2026-07-23T05:41:31+00:00,,,,,,4bb1e5,,,no_schedule_match
2026-07-23,dep,THY5SF,,,LTFM,LTAE,,,2026-07-23T05:21:43+00:00,2026-07-23T05:48:23+00:00,,,,,,4ba910,,,no_schedule_match
2026-07-23,dep,TUAF844,,,LTFM,,,,2026-07-23T05:22:44+00:00,2026-07-23T08:02:29+00:00,,,,,,4b8214,,,no_schedule_match
2026-07-23,dep,THY3KP,,,LTFM,,,,2026-07-23T05:26:55+00:00,2026-07-23T05:51:32+00:00,,,,,,4ba994,,,no_schedule_match
2026-07-23,dep,THY6PT,,,LTFM,LTAE,,,2026-07-23T05:29:52+00:00,2026-07-23T05:57:28+00:00,,,,,,4bb04d,,,no_schedule_match
2026-07-23,dep,THY7VD,,,LTFM,,,,2026-07-23T05:30:08+00:00,2026-07-23T05:54:41+00:00,,,,,,4bb056,,,no_schedule_match
2026-07-23,dep,THY9NY,,,LTFM,,,,2026-07-23T05:31:57+00:00,2026-07-23T06:23:03+00:00,,,,,,4ba999,,,no_schedule_match
2026-07-23,dep,THY7HR,,,LTFM,,,,2026-07-23T05:33:04+00:00,2026-07-23T05:57:46+00:00,,,,,,4bb322,,,no_schedule_match
2026-07-23,dep,THY60R,,,LTFM,LTAE,,,2026-07-23T05:34:16+00:00,2026-07-23T06:01:08+00:00,,,,,,4bb044,,,no_schedule_match
2026-07-23,dep,THY72X,,,LTFM,LTAE,,,2026-07-23T05:35:42+00:00,2026-07-23T06:03:15+00:00,,,,,,4bb213,,,no_schedule_match
2026-07-23,dep,THY7TY,,,LTFM,LTAE,,,2026-07-23T05:41:11+00:00,2026-07-23T06:07:44+00:00,,,,,,4baa0e,,,no_schedule_match
2026-07-23,dep,THY5ER,,,LTFM,LTAE,,,2026-07-23T05:42:35+00:00,2026-07-23T06:09:19+00:00,,,,,,4bab45,,,no_schedule_match
2026-07-23,dep,THY8WB,,,LTFM,LTAE,,,2026-07-23T05:44:36+00:00,2026-07-23T06:11:15+00:00,,,,,,4baad3,,,no_schedule_match
2026-07-23,dep,THY5DG,,,LTFM,,,,2026-07-23T05:46:56+00:00,2026-07-23T07:00:14+00:00,,,,,,4ba9b0,,,no_schedule_match
2026-07-23,dep,THY2TS,,,LTFM,LTAE,,,2026-07-23T05:48:30+00:00,2026-07-23T06:16:09+00:00,,,,,,4ba995,,,no_schedule_match
2026-07-23,dep,THY2710,,,LTFM,LTCD,,,2026-07-23T05:54:11+00:00,2026-07-23T06:58:23+00:00,,,,,,4ba993,,,no_schedule_match
2026-07-23,dep,THY1ET,,,LTFM,LTAE,,,2026-07-23T06:13:15+00:00,2026-07-23T06:39:54+00:00,,,,,,4baa08,,,no_schedule_match
2026-07-23,dep,FIA5326,,,LTFM,LYPO,,,2026-07-23T06:35:13+00:00,2026-07-23T10:20:06+00:00,,,,,,504e87,,,no_schedule_match
2026-07-23,dep,THY1GH,,,LTFM,EYVK,,,2026-07-23T06:48:12+00:00,2026-07-23T08:59:32+00:00,,,,,,4baa52,,,no_schedule_match
2026-07-23,dep,TUA902,,,LTFM,,,,2026-07-23T06:51:10+00:00,2026-07-23T08:39:23+00:00,,,,,,601834,,,no_schedule_match
2026-07-23,dep,THY7SJ,,,LTFM,,,,2026-07-23T07:19:29+00:00,2026-07-23T08:04:33+00:00,,,,,,4baa8f,,,no_schedule_match
2026-07-23,dep,THY4GM,,,LTFM,,,,2026-07-23T07:22:56+00:00,2026-07-23T07:46:40+00:00,,,,,,4bab48,,,no_schedule_match
2026-07-23,dep,CPN7903,,,LTFM,,,,2026-07-23T07:25:14+00:00,2026-07-23T08:29:33+00:00,,,,,,732e01,,,no_schedule_match
2026-07-23,dep,AZO3070,,,LTFM,,,,2026-07-23T07:58:17+00:00,2026-07-23T08:52:50+00:00,,,,,,155c33,,,no_schedule_match
2026-07-23,dep,THY1PG,,,LTFM,,,,2026-07-23T08:16:49+00:00,2026-07-23T08:39:57+00:00,,,,,,4baad6,,,no_schedule_match
2026-07-23,dep,THY1WL,,,LTFM,LTAE,,,2026-07-23T08:17:58+00:00,2026-07-23T08:45:22+00:00,,,,,,4baa0c,,,no_schedule_match
2026-07-23,dep,THY2FL,,,LTFM,,,,2026-07-23T08:28:24+00:00,2026-07-23T08:54:20+00:00,,,,,,4ba99a,,,no_schedule_match
2026-07-23,dep,THY5KD,,,LTFM,LTAE,,,2026-07-23T08:29:14+00:00,2026-07-23T08:53:58+00:00,,,,,,4ba90f,,,no_schedule_match
2026-07-23,dep,THY5CW,,,LTFM,LTAE,,,2026-07-23T08:29:46+00:00,2026-07-23T08:57:11+00:00,,,,,,4bb050,,,no_schedule_match
2026-07-23,dep,THY2588,,,LTFM,,,,2026-07-23T08:31:25+00:00,2026-07-23T09:17:21+00:00,,,,,,4baa50,,,no_schedule_match
2026-07-23,dep,THY4CP,,,LTFM,LTAE,,,2026-07-23T08:34:52+00:00,2026-07-23T09:02:27+00:00,,,,,,4bab28,,,no_schedule_match
2026-07-23,dep,THY8SR,,,LTFM,LTAE,,,2026-07-23T08:42:03+00:00,2026-07-23T09:09:19+00:00,,,,,,4bb043,,,no_schedule_match
2026-07-23,dep,MEA266,,,LTFM,,,,2026-07-23T08:50:25+00:00,2026-07-23T10:00:30+00:00,,,,,,5001db,,,no_schedule_match
2026-07-23,dep,THY3KT,,,LTFM,DTTB,,,2026-07-23T09:06:20+00:00,2026-07-23T11:24:53+00:00,,,,,,4baac1,,,no_schedule_match
2026-07-23,dep,UBD162,,,LTFM,LTAE,,,2026-07-23T09:20:32+00:00,2026-07-23T09:47:33+00:00,,,,,,728633,,,no_schedule_match
2026-07-23,dep,THY6624,,,LTFM,,,,2026-07-23T09:28:27+00:00,2026-07-23T12:47:58+00:00,,,,,,4ba9f6,,,no_schedule_match
2026-07-23,dep,THY3DB,,,LTFM,LTAE,,,2026-07-23T09:28:33+00:00,2026-07-23T09:54:46+00:00,,,,,,4baa13,,,no_schedule_match
2026-07-23,dep,THY7TW,,,LTFM,,,,2026-07-23T09:30:27+00:00,2026-07-23T11:21:22+00:00,,,,,,4bb274,,,no_schedule_match
2026-07-23,dep,THY8GQ,,,LTFM,,,,2026-07-23T09:35:07+00:00,2026-07-23T10:01:19+00:00,,,,,,4baa0a,,,no_schedule_match
2026-07-23,dep,THY31H,,,LTFM,LTAD,,,2026-07-23T09:36:04+00:00,2026-07-23T10:03:02+00:00,,,,,,4ba996,,,no_schedule_match
2026-07-23,dep,THY5PB,,,LTFM,LTBM,,,2026-07-23T09:43:57+00:00,2026-07-23T10:25:38+00:00,,,,,,4baa0b,,,no_schedule_match
2026-07-23,dep,THY44D,,,LTFM,LTAE,,,2026-07-23T09:49:10+00:00,2026-07-23T10:16:25+00:00,,,,,,4baacc,,,no_schedule_match
2026-07-23,dep,THY9HP,,,LTFM,LTAE,,,2026-07-23T09:52:47+00:00,2026-07-23T10:19:39+00:00,,,,,,4bb055,,,no_schedule_match
2026-07-23,dep,THY7QH,,,LTFM,LTAE,,,2026-07-23T10:04:19+00:00,2026-07-23T10:31:13+00:00,,,,,,4baa10,,,no_schedule_match
2026-07-23,dep,PBD770,,,LTFM,,,,2026-07-23T10:05:39+00:00,2026-07-23T10:53:30+00:00,,,,,,151e1c,,,no_schedule_match
2026-07-23,dep,THY108,,,LTFM,,,,2026-07-23T10:07:28+00:00,2026-07-23T12:07:02+00:00,,,,,,4bb28a,,,no_schedule_match
2026-07-23,dep,THY8DH,,,LTFM,,,,2026-07-23T10:11:46+00:00,2026-07-23T10:37:48+00:00,,,,,,4baa6c,,,no_schedule_match
2026-07-23,dep,THY8UZ,,,LTFM,LTAE,,,2026-07-23T10:13:02+00:00,2026-07-23T10:40:25+00:00,,,,,,4baacd,,,no_schedule_match
2026-07-23,dep,THY9YW,,,LTFM,,,,2026-07-23T10:18:51+00:00,2026-07-23T10:41:39+00:00,,,,,,4baad0,,,no_schedule_match
2026-07-23,dep,THY3SD,,,LTFM,,,,2026-07-23T10:27:59+00:00,2026-07-23T11:37:12+00:00,,,,,,4baa43,,,no_schedule_match
2026-07-23,dep,SVA258,,,LTFM,,,,2026-07-23T10:50:36+00:00,2026-07-23T12:41:10+00:00,,,,,,717ca2,,,no_schedule_match
2026-07-23,dep,AHY076,,,LTFM,,,,2026-07-23T10:53:14+00:00,2026-07-23T12:39:17+00:00,,,,,,4246ba,,,no_schedule_match
2026-07-23,dep,THY8RC,,,LTFM,,,,2026-07-23T10:55:07+00:00,2026-07-23T11:23:22+00:00,,,,,,4baa72,,,no_schedule_match
2026-07-23,dep,THY273,,,LTFM,,,,2026-07-23T10:56:29+00:00,2026-07-23T11:09:45+00:00,,,,,,4baad5,,,no_schedule_match
2026-07-23,dep,THY1MA,,,LTFM,,,,2026-07-23T10:57:42+00:00,2026-07-23T11:40:16+00:00,,,,,,4ba9a8,,,no_schedule_match
2026-07-23,dep,THY8YF,,,LTFM,LTAE,,,2026-07-23T11:01:43+00:00,2026-07-23T11:28:44+00:00,,,,,,4baa99,,,no_schedule_match
2026-07-23,dep,MNE405,,,LTFM,LYBR,,,2026-07-23T11:06:43+00:00,2026-07-23T12:14:39+00:00,,,,,,516042,,,no_schedule_match
2026-07-23,dep,THY8SW,,,LTFM,,,,2026-07-23T11:09:38+00:00,2026-07-23T11:32:09+00:00,,,,,,4bab47,,,no_schedule_match
2026-07-23,dep,THY6AV,,,LTFM,,,,2026-07-23T11:18:44+00:00,2026-07-23T12:04:40+00:00,,,,,,4baa0e,,,no_schedule_match
2026-07-23,dep,THY3RP,,,LTFM,LTAE,,,2026-07-23T11:21:58+00:00,2026-07-23T11:49:25+00:00,,,,,,4baa70,,,no_schedule_match
2026-07-23,dep,RMX8004,,,LTFM,,,,2026-07-23T11:22:10+00:00,2026-07-23T13:09:57+00:00,,,,,,010261,,,no_schedule_match
2026-07-23,dep,THY1011,,,LTFM,LW69,,,2026-07-23T11:25:16+00:00,2026-07-23T12:26:10+00:00,,,,,,4baa55,,,no_schedule_match
2026-07-23,dep,THY9ZN,,,LTFM,,,,2026-07-23T11:28:16+00:00,2026-07-23T12:00:15+00:00,,,,,,4baa08,,,no_schedule_match
2026-07-23,dep,THY7YR,,,LTFM,LTAE,,,2026-07-23T11:30:06+00:00,2026-07-23T11:56:16+00:00,,,,,,4bb056,,,no_schedule_match
2026-07-23,dep,THY1317,,,LTFM,LEVT,,,2026-07-23T11:34:54+00:00,2026-07-23T15:21:09+00:00,,,,,,4bb264,,,no_schedule_match
2026-07-23,dep,THY3LA,,,LTFM,LTAE,,,2026-07-23T11:40:51+00:00,2026-07-23T12:06:14+00:00,,,,,,4ba994,,,no_schedule_match
2026-07-23,dep,THY4EB,,,LTFM,LTAE,,,2026-07-23T11:44:37+00:00,2026-07-23T12:11:37+00:00,,,,,,4bb04d,,,no_schedule_match
2026-07-23,dep,THY3AH,,,LTFM,,,,2026-07-23T11:51:09+00:00,2026-07-23T12:58:45+00:00,,,,,,4baa4f,,,no_schedule_match
2026-07-23,dep,THY126,,,LTFM,,,,2026-07-23T11:53:37+00:00,2026-07-23T13:43:21+00:00,,,,,,4baac8,,,no_schedule_match
2026-07-23,dep,THY1VR,,,LTFM,,,,2026-07-23T11:57:16+00:00,2026-07-23T13:48:45+00:00,,,,,,4baa76,,,no_schedule_match
2026-07-23,dep,THY9,,,LTFM,,,,2026-07-23T12:03:47+00:00,2026-07-23T18:45:13+00:00,,,,,,4ba94f,,,no_schedule_match
2026-07-23,dep,THY4XH,,,LTFM,,,,2026-07-23T12:20:54+00:00,2026-07-23T12:42:50+00:00,,,,,,4baac9,,,no_schedule_match
2026-07-23,dep,THY7LS,,,LTFM,LTAE,,,2026-07-23T12:33:28+00:00,2026-07-23T13:01:36+00:00,,,,,,4baa0d,,,no_schedule_match
2026-07-23,dep,THY663,,,LTFM,,,,2026-07-23T12:47:05+00:00,2026-07-23T15:00:27+00:00,,,,,,4baa84,,,no_schedule_match
2026-07-23,dep,MNE401,,,LTFM,LAKU,,,2026-07-23T13:09:41+00:00,2026-07-23T14:10:39+00:00,,,,,,516097,,,no_schedule_match
2026-07-23,dep,THY58,,,LTFM,,,,2026-07-23T13:14:03+00:00,2026-07-23T18:41:30+00:00,,,,,,4ba9ce,,,no_schedule_match
2026-07-23,dep,THY2PX,,,LTFM,,,,2026-07-23T13:17:12+00:00,2026-07-23T13:40:54+00:00,,,,,,4baac7,,,no_schedule_match
2026-07-23,dep,THY170,,,LTFM,,,,2026-07-23T13:24:36+00:00,2026-07-23T18:45:24+00:00,,,,,,4bb192,,,no_schedule_match
2026-07-23,dep,THY5CL,,,LTFM,,,,2026-07-23T13:24:36+00:00,2026-07-23T13:48:29+00:00,,,,,,4ba995,,,no_schedule_match
2026-07-23,dep,BTI712,,,LTFM,EVRA,,,2026-07-23T13:29:06+00:00,2026-07-23T15:59:02+00:00,,,,,,502d0e,,,no_schedule_match
2026-07-23,dep,THY4VB,,,LTFM,,,,2026-07-23T13:29:08+00:00,2026-07-23T14:09:17+00:00,,,,,,4baac3,,,no_schedule_match
2026-07-23,dep,THY174,,,LTFM,,,,2026-07-23T13:30:21+00:00,2026-07-23T18:45:24+00:00,,,,,,4bb0e4,,,no_schedule_match
2026-07-23,dep,THY33C,,,LTFM,LIPN,,,2026-07-23T13:31:34+00:00,2026-07-23T15:39:52+00:00,,,,,,4bb282,,,no_schedule_match
2026-07-23,dep,THY2TL,,,LTFM,,,,2026-07-23T13:33:43+00:00,2026-07-23T15:23:42+00:00,,,,,,4bb070,,,no_schedule_match
2026-07-23,dep,THY1NE,,,LTFM,,,,2026-07-23T13:34:16+00:00,2026-07-23T13:57:19+00:00,,,,,,4baad9,,,no_schedule_match
2026-07-23,dep,THY1VX,,,LTFM,LTAE,,,2026-07-23T13:36:00+00:00,2026-07-23T14:03:25+00:00,,,,,,4ba999,,,no_schedule_match
2026-07-23,dep,AEE435,,,LTFM,LGSR,,,2026-07-23T13:38:11+00:00,2026-07-23T14:32:56+00:00,,,,,,4692d3,,,no_schedule_match
2026-07-23,dep,THY6QX,,,LTFM,LTAE,,,2026-07-23T13:42:09+00:00,2026-07-23T14:10:50+00:00,,,,,,4baa79,,,no_schedule_match
2026-07-23,dep,LTC101,,,LTFM,,,,2026-07-23T13:42:35+00:00,2026-07-23T18:45:24+00:00,,,,,,4caab1,,,no_schedule_match
2026-07-23,dep,THY2QC,,,LTFM,,,,2026-07-23T13:48:24+00:00,2026-07-23T14:14:18+00:00,,,,,,4baa67,,,no_schedule_match
2026-07-23,dep,THY5RA,,,LTFM,,,,2026-07-23T13:50:36+00:00,2026-07-23T14:55:21+00:00,,,,,,4baace,,,no_schedule_match
2026-07-23,dep,THA901,,,LTFM,,,,2026-07-23T13:51:40+00:00,2026-07-23T18:45:24+00:00,,,,,,88511a,,,no_schedule_match
2026-07-23,dep,THY45M,,,LTFM,,,,2026-07-23T14:08:23+00:00,2026-07-23T18:45:25+00:00,,,,,,4bb0eb,,,no_schedule_match
2026-07-23,dep,THY9RK,,,LTFM,LAKU,,,2026-07-23T14:11:30+00:00,2026-07-23T15:11:24+00:00,,,,,,4bb20e,,,no_schedule_match
2026-07-23,dep,THY2ZT,,,LTFM,,,,2026-07-23T14:14:49+00:00,2026-07-23T14:40:37+00:00,,,,,,4bab21,,,no_schedule_match
2026-07-23,dep,THY1SN,,,LTFM,,,,2026-07-23T14:18:27+00:00,2026-07-23T14:41:23+00:00,,,,,,4ba90e,,,no_schedule_match
2026-07-23,dep,THY2MB,,,LTFM,LTAE,,,2026-07-23T14:25:13+00:00,2026-07-23T14:51:43+00:00,,,,,,4ba9b0,,,no_schedule_match
2026-07-23,dep,THY7ZH,,,LTFM,LTAE,,,2026-07-23T14:28:15+00:00,2026-07-23T14:55:18+00:00,,,,,,4baac4,,,no_schedule_match
2026-07-23,dep,THY7JA,,,LTFM,LTAE,,,2026-07-23T14:34:30+00:00,2026-07-23T15:01:16+00:00,,,,,,4baa0c,,,no_schedule_match
2026-07-23,dep,THY6XN,,,LTFM,LTAE,,,2026-07-23T14:35:31+00:00,2026-07-23T15:03:34+00:00,,,,,,4bb050,,,no_schedule_match
2026-07-23,dep,THY9EH,,,LTFM,LTBS,,,2026-07-23T14:51:11+00:00,2026-07-23T15:46:14+00:00,,,,,,4bab26,,,no_schedule_match
2026-07-23,dep,THY1YS,,,LTFM,,,,2026-07-23T15:08:35+00:00,2026-07-23T15:30:46+00:00,,,,,,4ba90f,,,no_schedule_match
2026-07-23,dep,THY3NS,,,LTFM,LTAE,,,2026-07-23T15:16:31+00:00,2026-07-23T15:44:04+00:00,,,,,,4baa6d,,,no_schedule_match
2026-07-23,dep,THY1QB,,,LTFM,LTAE,,,2026-07-23T15:18:54+00:00,2026-07-23T15:45:43+00:00,,,,,,4baa6c,,,no_schedule_match
2026-07-23,dep,THY94N,,,LTFM,,,,2026-07-23T15:32:25+00:00,2026-07-23T15:47:09+00:00,,,,,,4bb043,,,no_schedule_match
2026-07-23,dep,OMA166,,,LTFM,,,,2026-07-23T15:33:39+00:00,2026-07-23T18:45:24+00:00,,,,,,70c100,,,no_schedule_match
2026-07-23,dep,THY4TL,,,LTFM,LTFH,,,2026-07-23T15:38:21+00:00,2026-07-23T16:24:47+00:00,,,,,,4bb055,,,no_schedule_match
2026-07-23,dep,RAM911T,,,LTFM,,,,2026-07-23T15:40:04+00:00,2026-07-23T18:45:24+00:00,,,,,,02013c,,,no_schedule_match
2026-07-23,dep,THY6MT,,,LTFM,,,,2026-07-23T15:42:07+00:00,2026-07-23T18:45:24+00:00,,,,,,4bb074,,,no_schedule_match
2026-07-23,dep,THY4LD,,,LTFM,,,,2026-07-23T15:43:54+00:00,2026-07-23T16:08:31+00:00,,,,,,4baad6,,,no_schedule_match
2026-07-23,dep,THY7HV,,,LTFM,LTAE,,,2026-07-23T15:51:01+00:00,2026-07-23T16:18:35+00:00,,,,,,4baa13,,,no_schedule_match
2026-07-23,dep,THY8XJ,,,LTFM,LTAE,,,2026-07-23T15:57:34+00:00,2026-07-23T16:22:45+00:00,,,,,,4ba99a,,,no_schedule_match
2026-07-23,dep,THY1TE,,,LTFM,LTAE,,,2026-07-23T16:00:33+00:00,2026-07-23T16:28:16+00:00,,,,,,4baa99,,,no_schedule_match
2026-07-23,dep,THY6513,,,LTFM,,,,2026-07-23T16:01:57+00:00,2026-07-23T18:45:25+00:00,,,,,,4ba9fa,,,no_schedule_match
2026-07-23,dep,THY9HW,,,LTFM,LTBM,,,2026-07-23T16:08:16+00:00,2026-07-23T16:49:57+00:00,,,,,,4baa0b,,,no_schedule_match
2026-07-23,dep,THY1EF,,,LTFM,,,,2026-07-23T16:12:43+00:00,2026-07-23T18:45:25+00:00,,,,,,4bb290,,,no_schedule_match
2026-07-23,dep,THY1LR,,,LTFM,,,,2026-07-23T16:18:12+00:00,2026-07-23T17:03:19+00:00,,,,,,4ba9a8,,,no_schedule_match
2026-07-23,dep,THY0AC,,,LTFM,LTAE,,,2026-07-23T16:18:32+00:00,2026-07-23T16:45:10+00:00,,,,,,4baa96,,,no_schedule_match
2026-07-23,dep,THY1SQ,,,LTFM,,,,2026-07-23T16:19:40+00:00,2026-07-23T18:45:25+00:00,,,,,,4bb287,,,no_schedule_match
2026-07-23,dep,THY7KC,,,LTFM,,,,2026-07-23T16:21:44+00:00,2026-07-23T18:44:56+00:00,,,,,,4bb06e,,,no_schedule_match
2026-07-23,dep,THY29M,,,LTFM,,,,2026-07-23T16:24:15+00:00,2026-07-23T18:45:24+00:00,,,,,,4bb0ec,,,no_schedule_match
2026-07-23,dep,THY6443,,,LTFM,,,,2026-07-23T16:26:16+00:00,2026-07-23T18:45:24+00:00,,,,,,4b9df5,,,no_schedule_match
2026-07-23,dep,TVF41HB,,,LTFM,,,,2026-07-23T16:27:55+00:00,2026-07-23T18:45:24+00:00,,,,,,39de47,,,no_schedule_match
2026-07-23,dep,THY7MX,,,LTFM,,,,2026-07-23T16:28:50+00:00,2026-07-23T18:45:24+00:00,,,,,,4ba910,,,no_schedule_match
2026-07-23,dep,THY5GW,,,LTFM,,,,2026-07-23T16:29:27+00:00,2026-07-23T18:45:24+00:00,,,,,,4baac5,,,no_schedule_match
2026-07-23,dep,THY1NA,,,LTFM,,,,2026-07-23T16:33:30+00:00,2026-07-23T17:08:35+00:00,,,,,,4ba919,,,no_schedule_match
2026-07-23,dep,THY1DY,,,LTFM,,,,2026-07-23T16:33:58+00:00,2026-07-23T18:45:24+00:00,,,,,,4ba9e5,,,no_schedule_match
2026-07-23,dep,THY9PG,,,LTFM,,,,2026-07-23T16:35:08+00:00,2026-07-23T18:45:24+00:00,,,,,,4ba9cb,,,no_schedule_match
2026-07-23,dep,THY5TN,,,LTFM,,,,2026-07-23T16:38:47+00:00,2026-07-23T18:45:24+00:00,,,,,,4baada,,,no_schedule_match
2026-07-23,dep,THY6CN,,,LTFM,,,,2026-07-23T16:39:41+00:00,2026-07-23T18:45:25+00:00,,,,,,4baa8c,,,no_schedule_match
2026-07-23,dep,THY91B,,,LTFM,,,,2026-07-23T16:40:44+00:00,2026-07-23T18:45:25+00:00,,,,,,4bb281,,,no_schedule_match
2026-07-23,dep,THY4AY,,,LTFM,,,,2026-07-23T16:42:37+00:00,2026-07-23T18:45:24+00:00,,,,,,4baa85,,,no_schedule_match
2026-07-23,dep,THY7JR,,,LTFM,,,,2026-07-23T16:45:07+00:00,2026-07-23T18:45:25+00:00,,,,,,4bb214,,,no_schedule_match
2026-07-23,dep,THY1ZH,,,LTFM,,,,2026-07-23T16:47:39+00:00,2026-07-23T17:11:53+00:00,,,,,,4ba994,,,no_schedule_match
