date,direction,callsign_icao,flight_iata,airline,origin_icao,destination_icao,scheduled_utc,actual_utc,opensky_firstseen_utc,opensky_lastseen_utc,delay_minutes,avs_delay_minutes,status,terminal,gate,icao24,data_quality_delta_min,quality_flags,reason
2026-07-23,dep,RMX8002,,,LTFM,HE38,,,2026-07-23T01:03:37+00:00,2026-07-23T02:51:21+00:00,,,,,,010261,,,no_schedule_match
2026-07-23,dep,THY368,,,LTFM,,,,2026-07-23T01:34:16+00:00,2026-07-23T03:26:06+00:00,,,,,,4ba9c4,,,no_schedule_match
2026-07-23,dep,THY6895,,,LTFM,EPKI,,,2026-07-23T02:20:30+00:00,2026-07-23T04:13:05+00:00,,,,,,4ba916,,,no_schedule_match
2026-07-23,dep,THY1SW,,,LTFM,,,,2026-07-23T02:47:24+00:00,2026-07-23T05:19:41+00:00,,,,,,4baa75,,,no_schedule_match
2026-07-23,dep,THY63A,,,LTFM,,,,2026-07-23T03:07:29+00:00,2026-07-23T10:45:45+00:00,,,,,,4bb1c3,,,no_schedule_match
2026-07-23,dep,THY5WG,,,LTFM,LTAE,,,2026-07-23T03:11:51+00:00,2026-07-23T03:39:07+00:00,,,,,,4baa96,,,no_schedule_match
2026-07-23,dep,THY5KX,,,LTFM,LTAE,,,2026-07-23T03:13:38+00:00,2026-07-23T03:39:43+00:00,,,,,,4bab27,,,no_schedule_match
2026-07-23,dep,THY8PM,,,LTFM,LTAE,,,2026-07-23T03:24:54+00:00,2026-07-23T03:51:49+00:00,,,,,,4bb043,,,no_schedule_match
2026-07-23,dep,THY2BK,,,LTFM,,,,2026-07-23T03:28:37+00:00,2026-07-23T03:49:48+00:00,,,,,,4baa64,,,no_schedule_match
2026-07-23,dep,THY3AR,,,LTFM,LTAE,,,2026-07-23T03:30:08+00:00,2026-07-23T03:56:34+00:00,,,,,,4baa99,,,no_schedule_match
2026-07-23,dep,THY9HB,,,LTFM,LTCD,,,2026-07-23T03:31:07+00:00,2026-07-23T04:34:35+00:00,,,,,,4bb055,,,no_schedule_match
2026-07-23,dep,THY1SF,,,LTFM,LTAE,,,2026-07-23T03:34:54+00:00,2026-07-23T04:02:09+00:00,,,,,,4ba99a,,,no_schedule_match
2026-07-23,dep,THY3CH,,,LTFM,LTAD,,,2026-07-23T03:37:31+00:00,2026-07-23T04:05:28+00:00,,,,,,4baacf,,,no_schedule_match
2026-07-23,dep,THY7FY,,,LTFM,LTAE,,,2026-07-23T03:39:24+00:00,2026-07-23T04:08:10+00:00,,,,,,4ba9aa,,,no_schedule_match
2026-07-23,dep,THY9JW,,,LTFM,,,,2026-07-23T03:41:09+00:00,2026-07-23T04:07:58+00:00,,,,,,4ba9a9,,,no_schedule_match
2026-07-23,dep,THY5DF,,,LTFM,LTAE,,,2026-07-23T03:44:56+00:00,2026-07-23T04:11:33+00:00,,,,,,4bb26d,,,no_schedule_match
2026-07-23,dep,THY70A,,,LTFM,,,,2026-07-23T03:48:11+00:00,2026-07-23T04:12:32+00:00,,,,,,4baace,,,no_schedule_match
2026-07-23,dep,THY6HZ,,,LTFM,LTAE,,,2026-07-23T03:53:21+00:00,2026-07-23T04:20:28+00:00,,,,,,4baa0a,,,no_schedule_match
2026-07-23,dep,THY5QM,,,LTFM,LTAE,,,2026-07-23T03:57:19+00:00,2026-07-23T04:20:40+00:00,,,,,,4baac6,,,no_schedule_match
2026-07-23,dep,THY88H,,,LTFM,,,,2026-07-23T03:58:57+00:00,2026-07-23T05:52:01+00:00,,,,,,4bb273,,,no_schedule_match
2026-07-23,dep,THY8DB,,,LTFM,HE42,,,2026-07-23T04:04:32+00:00,2026-07-23T05:32:32+00:00,,,,,,4bb0ee,,,no_schedule_match
2026-07-23,dep,THY3MD,,,LTFM,,,,2026-07-23T04:13:51+00:00,2026-07-23T04:45:34+00:00,,,,,,4bb050,,,no_schedule_match
2026-07-23,dep,AFL2171,,,LTFM,,,,2026-07-23T04:39:15+00:00,2026-07-23T05:05:13+00:00,,,,,,151ff3,,,no_schedule_match
2026-07-23,dep,THY1BX,,,LTFM,XUBS,,,2026-07-23T04:43:49+00:00,2026-07-23T07:02:05+00:00,,,,,,4ba9c5,,,no_schedule_match
2026-07-23,dep,THY5LW,,,LTFM,LAKU,,,2026-07-23T04:43:50+00:00,2026-07-23T05:43:15+00:00,,,,,,4bb206,,,no_schedule_match
2026-07-23,dep,THY1TH,,,LTFM,,,,2026-07-23T04:45:21+00:00,2026-07-23T05:31:21+00:00,,,,,,4baa4d,,,no_schedule_match
2026-07-23,dep,THY8RZ,,,LTFM,HESC,,,2026-07-23T04:50:14+00:00,2026-07-23T06:43:54+00:00,,,,,,4ba915,,,no_schedule_match
2026-07-23,dep,THY269,,,LTFM,LUCH,,,2026-07-23T04:58:04+00:00,2026-07-23T05:44:16+00:00,,,,,,4baa90,,,no_schedule_match
2026-07-23,dep,THY8ES,,,LTFM,LAKU,,,2026-07-23T05:01:11+00:00,2026-07-23T06:06:39+00:00,,,,,,4bb285,,,no_schedule_match
