time_utc,raw
2026-07-20T00:20:00+00:00,METAR LTFM 200020Z 10007KT 070V130 CAVOK 23/19 Q1013 NOSIG RMK RWY17L 10006KT RWY34L 08007KT RWY16R 10006KT RWY36 10006KT RWY18 11005KT
2026-07-20T00:50:00+00:00,METAR LTFM 200050Z 09004KT 060V120 CAVOK 23/19 Q1014 NOSIG RMK RWY17L VRB01KT RWY34L 08004KT RWY16R VRB01KT RWY36 09004KT 040V100 RWY18 13002KT
2026-07-20T01:20:00+00:00,METAR LTFM 200120Z 09006KT 050V120 CAVOK 24/19 Q1013 NOSIG RMK RWY17L VRB02KT RWY34L 09007KT RWY16R 11004KT RWY36 12003KT 010V160 RWY18 VRB02KT
2026-07-20T01:50:00+00:00,METAR LTFM 200150Z 12004KT CAVOK 23/19 Q1013 NOSIG RMK RWY17L 13003KT 060V210 RWY34L 12005KT 090V150 RWY16R 11004KT RWY36 VRB04KT RWY18 13003KT 090V150
2026-07-20T02:20:00+00:00,METAR LTFM 200220Z 10006KT 9999 FEW018 23/19 Q1014 NOSIG RMK RWY17L 11004KT RWY34L 09007KT RWY16R 10004KT 050V110 RWY36 10007KT 020V130 RWY18 11005KT
2026-07-20T02:50:00+00:00,METAR LTFM 200250Z 05005KT 9999 FEW018 23/19 Q1014 NOSIG RMK RWY17L 31002KT RWY34L 03004KT 360V060 RWY16R VRB02KT RWY36 04004KT RWY18 VRB02KT
2026-07-20T03:20:00+00:00,METAR LTFM 200320Z 09004KT 9999 FEW018 23/19 Q1014 NOSIG RMK RWY17L VRB01KT RWY34L 08004KT RWY16R 00000KT RWY36 09005KT 330V120 RWY18 14003KT
2026-07-20T03:50:00+00:00,METAR LTFM 200350Z 09005KT 030V120 9999 FEW022 24/19 Q1014 NOSIG RMK RWY17L VRB02KT RWY34L 08005KT RWY16R VRB02KT RWY36 08004KT 030V100 RWY18 14003KT
2026-07-20T04:20:00+00:00,METAR LTFM 200420Z 08004KT 340V120 9999 FEW022 25/19 Q1014 NOSIG RMK RWY17L 31004KT RWY34L 05005KT RWY16R 32004KT 280V350 RWY36 06005KT 020V110 RWY18 VRB02KT
2026-07-20T04:50:00+00:00,METAR LTFM 200450Z 07007KT 020V100 9999 FEW022 25/19 Q1014 NOSIG RMK RWY17L VRB04KT RWY34L 06006KT 360V090 RWY16R VRB02KT RWY36 06006KT 010V090 RWY18 08005KT
