time_utc,raw
2026-07-23T00:20:00+00:00,METAR LTFM 230020Z 33019KT 9999 -SHRA BKN022 BKN080 21/17 Q1011 NOSIG RMK RWY17L 33019KT RWY34L 33014KT RWY16R 34014KT RWY36 34020KT RWY18 34018KT
2026-07-23T00:50:00+00:00,METAR LTFM 230050Z 34015KT 9999 SCT025 BKN100 21/16 Q1011 RESHRA NOSIG RMK RWY17L 34013KT RWY34L 33012KT RWY16R 34010KT 300V360 RWY36 34017KT RWY18 35017KT
2026-07-23T01:20:00+00:00,METAR LTFM 230120Z 34016KT 9999 SCT025 BKN100 21/16 Q1011 NOSIG RMK RWY17L 34015KT RWY34L 33011KT RWY16R 33012KT RWY36 34015KT RWY18 34016KT
2026-07-23T01:50:00+00:00,METAR LTFM 230150Z 34015KT 9999 SCT025 BKN100 21/16 Q1011 NOSIG RMK RWY17L 33012KT RWY34L 33014KT RWY16R 33012KT RWY36 34016KT RWY18 34014KT
2026-07-23T02:20:00+00:00,METAR LTFM 230220Z 33015KT 9999 SCT025 BKN100 20/16 Q1011 NOSIG RMK RWY17L 33014KT RWY34L 33013KT RWY16R 32010KT RWY36 34015KT RWY18 34013KT
2026-07-23T02:50:00+00:00,METAR LTFM 230250Z 33016KT 9999 BKN025 20/16 Q1011 NOSIG RMK RWY17L 33014KT RWY34L 32013KT RWY16R 32011KT RWY36 33016KT RWY18 33015KT
2026-07-23T03:20:00+00:00,METAR LTFM 230320Z 33013KT 9999 BKN025 20/16 Q1011 NOSIG RMK RWY17L 33012KT RWY34L 32011KT RWY16R 32011KT RWY36 33015KT RWY18 33014KT
2026-07-23T03:50:00+00:00,METAR LTFM 230350Z 33014KT 9999 BKN025 20/16 Q1011 NOSIG RMK RWY17L 33014KT RWY34L 32011KT RWY16R 32009KT RWY36 33015KT RWY18 33013KT
2026-07-23T04:20:00+00:00,METAR LTFM 230420Z 34014KT 9999 SCT025 21/15 Q1011 NOSIG RMK RWY17L 33012KT RWY34L 33012KT RWY16R 32010KT RWY36 33015KT RWY18 34013KT
2026-07-23T04:50:00+00:00,METAR LTFM 230450Z 34015KT 9999 SCT028 21/16 Q1012 NOSIG RMK RWY17L 33014KT RWY34L 33013KT RWY16R 33010KT 290V350 RWY36 33016KT RWY18 33014KT
2026-07-23T05:20:00+00:00,METAR LTFM 230520Z 34014KT 9999 SCT025 21/16 Q1012 NOSIG RMK RWY17L 33014KT RWY34L 32013KT RWY16R 32013KT RWY36 34015KT 290V350 RWY18 33015KT
2026-07-23T05:50:00+00:00,METAR LTFM 230550Z 34015KT 9999 SCT025 22/16 Q1012 NOSIG RMK RWY17L 32012KT RWY34L 33014KT RWY16R 31013KT RWY36 33017KT RWY18 33015KT
2026-07-23T06:20:00+00:00,METAR LTFM 230620Z 34015KT 9999 SCT025 22/16 Q1012 NOSIG RMK RWY17L 32013KT RWY34L 32015KT RWY16R 32013KT 290V350 RWY36 33017KT RWY18 33016KT
2026-07-23T06:50:00+00:00,METAR LTFM 230650Z 33014KT 9999 SCT023 21/16 Q1012 NOSIG RMK RWY17L 33014KT RWY34L 32013KT 280V350 RWY16R 32012KT RWY36 33016KT RWY18 33015KT
2026-07-23T07:20:00+00:00,METAR LTFM 230720Z 32014KT 9999 SCT023 22/16 Q1012 NOSIG RMK RWY17L 33014KT RWY34L 33014KT RWY16R 31013KT 270V330 RWY36 34015KT RWY18 33014KT
2026-07-23T07:50:00+00:00,METAR LTFM 230750Z 33015KT 9999 BKN023 22/16 Q1012 NOSIG RMK RWY17L 33016KT RWY34L 32015KT 290V350 RWY16R 33013KT 290V350 RWY36 34017KT RWY18 34016KT
2026-07-23T08:20:00+00:00,METAR LTFM 230820Z 34017KT 9999 BKN022 22/16 Q1012 NOSIG RMK RWY17L 33016KT RWY34L 33018KT RWY16R 33014KT 300V360 RWY36 34018KT RWY18 33018KT
2026-07-23T08:50:00+00:00,METAR LTFM 230850Z 34017KT 9999 BKN022 22/16 Q1012 NOSIG RMK RWY17L 33016KT RWY34L 32018G30KT 280V350 RWY16R 33015KT RWY36 34016KT 300V360 RWY18 33018KT
2026-07-23T09:20:00+00:00,METAR LTFM 230920Z 33018G29KT 9999 BKN022 23/15 Q1012 NOSIG RMK RWY17L 34018KT RWY34L 33016G28KT RWY16R 33015KT RWY36 34019KT RWY18 33018KT
2026-07-23T09:50:00+00:00,METAR LTFM 230950Z 35018KT 9999 BKN022 23/15 Q1012 NOSIG RMK RWY17L 34018KT RWY34L 32018KT RWY16R 35016KT RWY36 34019KT RWY18 34018KT
2026-07-23T10:20:00+00:00,METAR LTFM 231020Z 34019KT 310V010 9999 BKN022 23/15 Q1012 NOSIG RMK RWY17L 35018KT RWY34L 34019KT RWY16R 35017KT RWY36 34018KT RWY18 35018KT
