time_utc,raw
2026-07-21T12:50:00+00:00,METAR LTFM 211250Z 05012KT CAVOK 28/16 Q1015 NOSIG RMK RWY17L 05011KT RWY34L 06010KT 010V070 RWY16R 04011KT 010V070 RWY36 06012KT RWY18 06010KT 020V090
2026-07-21T13:20:00+00:00,METAR LTFM 211320Z 06011KT CAVOK 28/17 Q1015 NOSIG RMK RWY17L 04009KT 010V070 RWY34L 06009KT 020V090 RWY16R 04010KT RWY36 05011KT 010V080 RWY18 06010KT 030V090
2026-07-21T13:50:00+00:00,METAR LTFM 211350Z 05009KT 010V080 CAVOK 27/17 Q1014 NOSIG RMK RWY17L 06010KT 020V090 RWY34L 06010KT 020V080 RWY16R 06009KT 010V090 RWY36 05010KT 010V070 RWY18 06009KT 030V090
2026-07-21T14:20:00+00:00,METAR LTFM 211420Z 07010KT 030V100 CAVOK 27/17 Q1014 NOSIG RMK RWY17L 08010KT RWY34L 06010KT RWY16R 07010KT RWY36 06011KT 020V100 RWY18 06010KT
2026-07-21T14:50:00+00:00,METAR LTFM 211450Z 08010KT 040V100 CAVOK 27/18 Q1014 NOSIG RMK RWY17L 07010KT RWY34L 06010KT 030V100 RWY16R 08009KT 050V110 RWY36 06010KT 020V090 RWY18 09010KT 050V110
2026-07-21T15:20:00+00:00,METAR LTFM 211520Z 06009KT CAVOK 27/17 Q1014 NOSIG RMK RWY17L 07009KT 040V100 RWY34L 05009KT 020V080 RWY16R 08008KT 030V100 RWY36 06009KT 020V090 RWY18 09009KT 060V120
2026-07-21T15:50:00+00:00,METAR LTFM 211550Z 07010KT 030V090 CAVOK 26/18 Q1014 NOSIG RMK RWY17L 08009KT RWY34L 06009KT RWY16R 07009KT RWY36 07010KT 020V090 RWY18 08009KT
2026-07-21T16:20:00+00:00,METAR LTFM 211620Z 08009KT 050V110 CAVOK 26/19 Q1014 NOSIG RMK RWY17L 08009KT RWY34L 07009KT 030V090 RWY16R 09009KT RWY36 08009KT 020V100 RWY18 09008KT 050V110
2026-07-21T16:50:00+00:00,METAR LTFM 211650Z 09008KT 040V110 CAVOK 26/19 Q1014 NOSIG RMK RWY17L 08008KT RWY34L 07009KT RWY16R 08009KT RWY36 08008KT 030V110 RWY18 10009KT
2026-07-21T17:20:00+00:00,METAR LTFM 211720Z 08008KT 040V100 CAVOK 25/20 Q1014 NOSIG RMK RWY17L 08008KT RWY34L 07008KT RWY16R 07008KT RWY36 08006KT 040V100 RWY18 09008KT
2026-07-21T17:50:00+00:00,METAR LTFM 211750Z 09007KT 040V120 CAVOK 25/20 Q1014 NOSIG RMK RWY17L 10006KT RWY34L 07008KT RWY16R 10008KT RWY36 08006KT 030V110 RWY18 10007KT
2026-07-21T18:20:00+00:00,METAR LTFM 211820Z 09007KT CAVOK 25/20 Q1014 NOSIG RMK RWY17L 10005KT RWY34L 09008KT RWY16R 10006KT RWY36 09003KT 020V140 RWY18 11006KT
2026-07-21T18:50:00+00:00,METAR LTFM 211850Z 07007KT CAVOK 25/20 Q1014 NOSIG RMK RWY17L 07005KT RWY34L 05007KT RWY16R 07006KT RWY36 05005KT 360V080 RWY18 08005KT
2026-07-21T19:20:00+00:00,METAR LTFM 211920Z 07008KT CAVOK 25/21 Q1015 NOSIG
