time_utc,raw
2026-07-22T00:20:00+00:00,METAR LTFM 220020Z 11004KT 070V130 CAVOK 23/20 Q1014 NOSIG RMK RWY17L 11002KT RWY34L 10005KT RWY16R 11003KT RWY36 VRB04KT RWY18 11004KT
2026-07-22T00:50:00+00:00,METAR LTFM 220050Z 11006KT CAVOK 23/20 Q1013 NOSIG RMK RWY17L 11004KT RWY34L 10007KT RWY16R 11005KT RWY36 12004KT RWY18 11004KT
2026-07-22T01:20:00+00:00,METAR LTFM 220120Z 10006KT CAVOK 23/20 Q1013 NOSIG RMK RWY17L 10003KT RWY34L 09006KT RWY16R 10004KT RWY36 11004KT 070V140 RWY18 11003KT
2026-07-22T01:50:00+00:00,METAR LTFM 220150Z 12004KT 080V140 CAVOK 23/19 Q1013 NOSIG RMK RWY17L 10003KT RWY34L 09006KT RWY16R 10004KT RWY36 VRB04KT RWY18 11002KT
2026-07-22T02:20:00+00:00,METAR LTFM 220220Z 11006KT CAVOK 23/19 Q1013 NOSIG RMK RWY17L 11005KT RWY34L 11007KT RWY16R 11005KT RWY36 12005KT 030V190 RWY18 11004KT
2026-07-22T02:50:00+00:00,METAR LTFM 220250Z 11006KT CAVOK 23/19 Q1013 NOSIG RMK RWY17L 11003KT RWY34L 10007KT RWY16R 11004KT RWY36 13003KT 050V160 RWY18 12004KT
2026-07-22T03:20:00+00:00,METAR LTFM 220320Z 12006KT CAVOK 23/19 Q1013 NOSIG RMK RWY17L 11003KT RWY34L 11007KT RWY16R 11004KT RWY36 VRB03KT RWY18 12003KT
2026-07-22T03:50:00+00:00,METAR LTFM 220350Z 11006KT CAVOK 23/19 Q1013 NOSIG RMK RWY17L 09004KT RWY34L 10008KT RWY16R 11005KT RWY36 12005KT 050V130 RWY18 11004KT
2026-07-22T04:20:00+00:00,METAR LTFM 220420Z 10007KT CAVOK 24/19 Q1013 NOSIG RMK RWY17L 10005KT RWY34L 10008KT RWY16R 10006KT RWY36 10006KT 030V110 RWY18 11005KT
2026-07-22T04:50:00+00:00,METAR LTFM 220450Z 11007KT 060V130 CAVOK 25/19 Q1013 NOSIG RMK RWY17L 10007KT RWY34L 09010KT RWY16R 10008KT RWY36 09008KT 040V110 RWY18 10007KT
2026-07-22T05:20:00+00:00,METAR LTFM 220520Z 10010KT CAVOK 25/19 Q1013 NOSIG RMK RWY17L 09010KT RWY34L 08011KT RWY16R 09009KT RWY36 09011KT 030V110 RWY18 10010KT
2026-07-22T05:50:00+00:00,METAR LTFM 220550Z 10010KT CAVOK 25/19 Q1013 NOSIG RMK RWY17L 09010KT RWY34L 10010KT RWY16R 09010KT RWY36 10009KT 040V110 RWY18 10010KT
2026-07-22T06:20:00+00:00,METAR LTFM 220620Z 10009KT 070V130 CAVOK 26/19 Q1013 NOSIG RMK RWY17L 09012KT RWY34L 09010KT 050V110 RWY16R 08012KT RWY36 11009KT 060V130 RWY18 09012KT
2026-07-22T06:50:00+00:00,METAR LTFM 220650Z 12008KT 080V140 CAVOK 27/18 Q1012 NOSIG RMK RWY17L 08012KT RWY34L 10008KT 060V130 RWY16R 09012KT RWY36 12008KT 050V140 RWY18 09012KT
2026-07-22T07:20:00+00:00,METAR LTFM 220720Z 12008KT 090V150 CAVOK 28/18 Q1012 NOSIG RMK RWY17L 09012KT RWY34L 11008KT 080V140 RWY16R 09010KT RWY36 08009KT 030V130 RWY18 08012KT
2026-07-22T07:50:00+00:00,METAR LTFM 220750Z 09005KT 020V150 CAVOK 28/19 Q1012 NOSIG RMK RWY17L 07012KT RWY34L 09005KT 010V150 RWY16R 07011KT RWY36 VRB09KT RWY18 09010KT
2026-07-22T08:20:00+00:00,METAR LTFM 220820Z 09008KT 030V120 CAVOK 29/19 Q1012 NOSIG RMK RWY17L 07013KT RWY34L 07008KT 030V120 RWY16R 07012KT RWY36 07010KT RWY18 09011KT
2026-07-22T08:50:00+00:00,METAR LTFM 220850Z 08008KT 030V150 CAVOK 28/19 Q1011 NOSIG RMK RWY17L 09011KT RWY34L 12005KT 040V170 RWY16R 08012KT RWY36 08012KT 020V110 RWY18 09012KT
2026-07-22T09:20:00+00:00,METAR LTFM 220920Z 09010KT 050V130 CAVOK 29/19 Q1011 NOSIG RMK RWY17L 07015KT RWY34L 11008KT 060V180 RWY16R 08013KT RWY36 07013KT RWY18 09014KT
2026-07-22T09:50:00+00:00,METAR LTFM 220950Z 08012KT 040V110 CAVOK 30/19 Q1010 NOSIG RMK RWY17L 08014KT RWY34L 08010KT 040V100 RWY16R 09012KT RWY36 08012KT 040V100 RWY18 10013KT
2026-07-22T10:20:00+00:00,METAR LTFM 221020Z 05015KT 010V070 CAVOK 30/20 Q1010 NOSIG RMK RWY17L 09015KT RWY34L 07011KT RWY16R 07014KT RWY36 07013KT RWY18 08014KT
2026-07-22T10:50:00+00:00,METAR LTFM 221050Z 07012KT CAVOK 30/19 Q1010 NOSIG RMK RWY17L 08015KT RWY34L 06013KT 020V080 RWY16R 07014KT RWY36 07015KT RWY18 08013KT
2026-07-22T11:20:00+00:00,METAR LTFM 221120Z 07013KT CAVOK 30/19 Q1009 NOSIG RMK RWY17L 09015KT RWY34L 06012KT RWY16R 07016KT RWY36 07014KT RWY18 07014KT
2026-07-22T11:50:00+00:00,METAR LTFM 221150Z 07012KT 040V120 CAVOK 31/20 Q1009 NOSIG RMK RWY17L 09015KT RWY34L 06012KT RWY16R 09013KT RWY36 08012KT RWY18 09014KT
2026-07-22T12:20:00+00:00,METAR LTFM 221220Z 08013KT CAVOK 31/19 Q1008 NOSIG RMK RWY17L 09015KT RWY34L 04008KT 340V070 RWY16R 08014KT RWY36 07012KT 030V090 RWY18 09013KT
2026-07-22T12:50:00+00:00,METAR LTFM 221250Z 24008KT 190V280 CAVOK 34/14 Q1008 NOSIG RMK RWY17L 08014KT RWY34L VRB06KT RWY16R 09012KT RWY36 VRB08KT RWY18 09014KT
2026-07-22T13:20:00+00:00,METAR LTFM 221320Z 22011KT 180V260 CAVOK 34/13 Q1007 NOSIG RMK RWY17L 08011KT RWY34L 21011G21KT 160V270 RWY16R 08013KT RWY36 VRB09KT RWY18 08012KT
2026-07-22T13:50:00+00:00,METAR LTFM 221350Z 23012G22KT 200V260 9999 FEW028 34/13 Q1007 BECMG TL1450 08014KT RMK RWY17L 10008KT 050V150 RWY34L 21010KT 170V250 RWY16R 24009KT 190V260 RWY36 23009KT 180V260 RWY18 10008KT 060V140
2026-07-22T14:20:00+00:00,METAR LTFM 221420Z 21008G20KT 160V240 9999 SCT028 34/13 Q1007 BECMG TL1450 08014KT RMK RWY17L 08016KT RWY34L 20010KT 160V230 RWY16R 07017KT RWY36 20007KT 140V240 RWY18 09016KT
2026-07-22T14:50:00+00:00,METAR LTFM 221450Z 08010KT 040V110 9999 SCT028 SCT100 30/19 Q1007 NOSIG RMK RWY17L 09016KT RWY34L 06010KT RWY16R 09016KT RWY36 08012KT RWY18 10014KT
2026-07-22T15:20:00+00:00,METAR LTFM 221520Z COR 35030G42KT 6000 -TSRA FEW018CB BKN025 BKN080 24/20 Q1011 RESHRA BECMG NSW RMK RWY17L 35025KT RWY34L 35028KT RWY16R 35025KT RWY36 35032KT RWY18 35029KT
2026-07-22T15:50:00+00:00,METAR LTFM 221550Z 02021KT 7000 R35R/1200N R17L/P1500N R34L/P1500N R36/P1500D -TSRA FEW018CB BKN025 BKN080 21/20 Q1010 BECMG NSW RMK RWY17L 02019KT RWY34L 01022KT RWY16R 02019KT RWY36 01023KT RWY18 01018KT
2026-07-22T16:20:00+00:00,METAR LTFM 221620Z 01016KT 9999 SCT028 BKN080 22/20 Q1011 RESHRA NOSIG RMK RWY17L 36016KT RWY34L 36017KT RWY16R 36016KT RWY36 01016KT RWY18 02014KT
2026-07-22T16:50:00+00:00,METAR LTFM 221650Z 03016KT 9999 SCT028 BKN080 22/20 Q1010 NOSIG RMK RWY17L 02013KT RWY34L 01015KT RWY16R 02013KT RWY36 02017KT RWY18 03013KT
2026-07-22T17:20:00+00:00,METAR LTFM 221720Z 03012KT 340V040 9999 SCT028 BKN080 22/19 Q1011 NOSIG RMK RWY17L 01010KT RWY34L 01012KT RWY16R 36010KT RWY36 03012KT RWY18 04008KT
2026-07-22T17:50:00+00:00,METAR LTFM 221750Z 01013KT 9999 SCT028 BKN080 22/19 Q1010 NOSIG RMK RWY17L 01009KT RWY34L 36013KT RWY16R 02008KT RWY36 01014KT RWY18 01009KT
2026-07-22T18:20:00+00:00,METAR LTFM 221820Z 02011KT 9999 SCT028 BKN080 22/20 Q1011 NOSIG RMK RWY17L 01011KT RWY34L 36011KT RWY16R 36009KT RWY36 02010KT RWY18 02010KT
2026-07-22T18:50:00+00:00,METAR LTFM 221850Z 36011KT 9999 SCT032 BKN090 22/19 Q1011 NOSIG RMK RWY17L 36009KT RWY34L 35010KT RWY16R 35008KT RWY36 01011KT RWY18 01008KT
2026-07-22T19:20:00+00:00,METAR LTFM 221920Z 36008KT 310V010 9999 SCT032 BKN090 22/19 Q1011 NOSIG RMK RWY17L 36008KT RWY34L 34006KT RWY16R 34004KT RWY36 35008KT RWY18 36007KT
2026-07-22T19:50:00+00:00,METAR LTFM 221950Z 36008KT 310V030 9999 SCT032 BKN090 22/19 Q1011 NOSIG RMK RWY17L 35009KT RWY34L 34006KT RWY16R 33005KT RWY36 35008KT RWY18 36008KT
2026-07-22T20:20:00+00:00,METAR LTFM 222020Z 36012KT 9999 FEW015 BKN025 23/18 Q1011 NOSIG RMK RWY17L 35009KT RWY34L 35011KT RWY16R 35010KT RWY36 36014KT RWY18 36012KT
2026-07-22T20:50:00+00:00,METAR LTFM 222050Z 35013KT 9999 FEW015 BKN025 23/18 Q1011 NOSIG RMK RWY17L 35011KT RWY34L 34010KT RWY16R 34007KT RWY36 36012KT RWY18 35012KT
2026-07-22T21:20:00+00:00,METAR LTFM 222120Z 34011KT 9999 FEW018 BKN025 BKN100 23/19 Q1011 NOSIG RMK RWY17L 34011KT RWY34L 33008KT RWY16R 34007KT RWY36 35010KT RWY18 36011KT
2026-07-22T21:50:00+00:00,METAR LTFM 222150Z 35016KT 9999 FEW018 BKN025 BKN100 23/18 Q1011 NOSIG RMK RWY17L 34015KT RWY34L 34014KT RWY16R 33013KT RWY36 34018KT RWY18 35014KT
2026-07-22T22:20:00+00:00,METAR LTFM 222220Z 34016KT 9999 FEW018 BKN025 BKN100 23/17 Q1012 NOSIG RMK RWY17L 34016KT RWY34L 33014KT RWY16R 33010KT 290V350 RWY36 34017KT RWY18 34016KT
2026-07-22T22:50:00+00:00,METAR LTFM 222250Z 35015KT 9999 SCT022 BKN080 22/17 Q1011 NOSIG RMK RWY17L 34018KT RWY34L 34016KT RWY16R 34014KT RWY36 35016KT RWY18 35016KT
2026-07-22T23:20:00+00:00,METAR LTFM 222320Z 35017KT 9999 SCT022 BKN080 22/17 Q1011 NOSIG RMK RWY17L 34018KT RWY34L 33015KT RWY16R 34014KT RWY36 34017KT RWY18 35016KT
2026-07-22T23:50:00+00:00,METAR LTFM 222350Z 34018KT 9999 SCT022 BKN080 22/17 Q1011 NOSIG RMK RWY17L 33018KT RWY34L 33016KT RWY16R 33011KT RWY36 34018KT RWY18 34016KT
