date,direction,callsign_icao,flight_iata,airline,origin_icao,destination_icao,scheduled_utc,actual_utc,opensky_firstseen_utc,opensky_lastseen_utc,delay_minutes,avs_delay_minutes,status,terminal,gate,icao24,data_quality_delta_min,quality_flags
2026-07-20,dep,THY3WE,TK1755,Turkish Airlines,LTFM,LPPT,2026-07-20T03:50:00+00:00,2026-07-20T04:12:00+00:00,2026-07-20T04:13:53+00:00,2026-07-20T08:46:58+00:00,22,,landed,,F5A,4bb26d,2,fuzzy_callsign_match
2026-07-20,dep,THY3FN,TK1449,Turkish Airlines,LTFM,LPPR,2026-07-20T03:50:00+00:00,2026-07-20T04:12:00+00:00,2026-07-20T04:14:17+00:00,2026-07-20T08:50:59+00:00,22,11,landed,,A6A,4bb063,2,fuzzy_callsign_match
2026-07-20,dep,THY7XE,TK1867,Turkish Airlines,LTFM,LIPZ,2026-07-20T03:50:00+00:00,2026-07-20T04:13:00+00:00,2026-07-20T04:15:11+00:00,2026-07-20T06:43:21+00:00,23,24,landed,,F6B,4bb245,2,fuzzy_callsign_match
2026-07-20,dep,LOT7MW,LO138,LOT,LTFM,EPWA,2026-07-20T04:00:00+00:00,2026-07-20T04:13:00+00:00,2026-07-20T04:15:24+00:00,2026-07-20T06:07:46+00:00,13,,landed,,B9A,48ada1,2,fuzzy_callsign_match
2026-07-20,dep,THY6FX,TK1523,Turkish Airlines,LTFM,EDDL,2026-07-20T03:55:00+00:00,2026-07-20T04:17:00+00:00,2026-07-20T04:19:41+00:00,2026-07-20T07:08:56+00:00,22,4,landed,,A8A,4bb262,3,fuzzy_callsign_match
2026-07-20,dep,THY1LZ,TK1661,Turkish Airlines,LTFM,EDDH,2026-07-20T04:10:00+00:00,2026-07-20T04:19:00+00:00,2026-07-20T04:21:11+00:00,2026-07-20T07:02:29+00:00,9,,landed,,A5A,4bb261,2,fuzzy_callsign_match
2026-07-20,dep,THY9FP,TK1873,Turkish Airlines,LTFM,LIMC,2026-07-20T04:00:00+00:00,2026-07-20T04:23:00+00:00,2026-07-20T04:24:14+00:00,2026-07-20T06:45:10+00:00,23,,landed,,A9,4bb0ec,1,fuzzy_callsign_match
2026-07-20,dep,THY75P,TK1035,Turkish Airlines,LTFM,LHBP,2026-07-20T04:10:00+00:00,2026-07-20T04:23:00+00:00,2026-07-20T04:24:29+00:00,2026-07-20T05:53:50+00:00,13,,landed,,A4F,4baa8d,1,fuzzy_callsign_match
2026-07-20,dep,THY2CT,TK1993,Turkish Airlines,LTFM,EGCC,2026-07-20T04:00:00+00:00,2026-07-20T04:22:00+00:00,2026-07-20T04:24:41+00:00,2026-07-20T07:54:58+00:00,22,,landed,,D7,4ba9da,3,fuzzy_callsign_match
2026-07-20,dep,THY4TU,TK1353,Turkish Airlines,LTFM,ELLX,2026-07-20T04:05:00+00:00,2026-07-20T04:24:00+00:00,2026-07-20T04:26:23+00:00,2026-07-20T07:21:59+00:00,19,,landed,,A1G,4baa6c,2,fuzzy_callsign_match
