date,direction,callsign_icao,flight_iata,airline,origin_icao,destination_icao,scheduled_utc,actual_utc,opensky_firstseen_utc,opensky_lastseen_utc,delay_minutes,status,terminal,gate,icao24,data_quality_delta_min,quality_flags
2026-07-19,dep,THY7DZ,TK1967,Turkish Airlines,LTFM,EGBB,2026-07-19T07:00:00+00:00,2026-07-19T07:24:00+00:00,2026-07-19T04:25:36+00:00,2026-07-19T07:57:59+00:00,24,landed,,A1J,4bb2b0,-178,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY74M,TK1365,Turkish Airlines,LTFM,LFML,2026-07-19T07:05:00+00:00,2026-07-19T07:27:00+00:00,2026-07-19T04:28:22+00:00,2026-07-19T07:13:12+00:00,22,landed,,B18B,4bb205,-179,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY9YZ,TK1751,Turkish Airlines,LTFM,ENGM,2026-07-19T07:10:00+00:00,2026-07-19T07:28:00+00:00,2026-07-19T04:29:37+00:00,2026-07-19T07:37:24+00:00,18,landed,,C1,4bb272,-178,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY1QG,TK1951,Turkish Airlines,LTFM,EHAM,2026-07-19T07:15:00+00:00,2026-07-19T07:29:00+00:00,2026-07-19T04:31:28+00:00,2026-07-19T07:29:29+00:00,14,landed,,A1C,4ba9e2,-178,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY1UC,TK1303,Turkish Airlines,LTFM,LEMG,2026-07-19T07:15:00+00:00,2026-07-19T07:32:00+00:00,2026-07-19T04:34:23+00:00,2026-07-19T08:45:26+00:00,17,landed,,F4B,4bb28d,-178,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY7WT,TK1821,Turkish Airlines,LTFM,LFPG,2026-07-19T07:15:00+00:00,2026-07-19T07:37:00+00:00,2026-07-19T04:38:26+00:00,2026-07-19T07:53:59+00:00,22,landed,,D1,4bb267,-179,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY3PB,TK1783,Turkish Airlines,LTFM,EKCH,2026-07-19T07:15:00+00:00,2026-07-19T07:39:00+00:00,2026-07-19T04:41:11+00:00,2026-07-19T07:34:20+00:00,24,landed,,B8B,4bb208,-178,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY3QX,TK1369,Turkish Airlines,LTFM,LMML,2026-07-19T07:20:00+00:00,2026-07-19T07:40:00+00:00,2026-07-19T04:41:32+00:00,2026-07-19T06:29:29+00:00,20,landed,,B17,4bb0e5,-178,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY4ND,TK1881,Turkish Airlines,LTFM,LGTS,2026-07-19T07:25:00+00:00,2026-07-19T07:44:00+00:00,2026-07-19T04:46:32+00:00,2026-07-19T05:36:21+00:00,19,landed,,B5A,4baa76,-177,actuals_disagree|fuzzy_callsign_match
2026-07-19,dep,THY7JV,TK1813,Turkish Airlines,LTFM,LFMN,2026-07-19T07:10:00+00:00,2026-07-19T07:45:00+00:00,2026-07-19T04:47:50+00:00,2026-07-19T07:22:13+00:00,35,landed,,B14,4bb0ed,-177,actuals_disagree|fuzzy_callsign_match
