date,direction,callsign_icao,flight_iata,airline,origin_icao,destination_icao,scheduled_utc,actual_utc,opensky_firstseen_utc,opensky_lastseen_utc,delay_minutes,avs_delay_minutes,status,terminal,gate,icao24,data_quality_delta_min,quality_flags
2026-07-22,dep,DAH3023,AH3023,Air Algerie,LTFM,DABC,2026-07-21T23:30:00+00:00,,2026-07-22T00:02:05+00:00,2026-07-22T02:19:22+00:00,32,,scheduled,,,0a0079,,
2026-07-22,dep,THY164,TK164,Turkish Airlines,LTFM,VVNB,2026-07-21T23:10:00+00:00,,2026-07-22T00:11:47+00:00,2026-07-22T08:07:29+00:00,62,,scheduled,,A1D,4bb102,,
2026-07-22,dep,GEC8461,GEC8461,Lufthansa Cargo,LTFM,EDDF,2026-07-22T00:15:00+00:00,,2026-07-22T00:43:57+00:00,2026-07-22T03:23:28+00:00,29,,scheduled,,,3c70ca,,
2026-07-22,dep,DLH1743,LH1743,Lufthansa,LTFM,EDDM,2026-07-22T00:45:00+00:00,,2026-07-22T00:53:15+00:00,2026-07-22T03:06:49+00:00,8,,scheduled,,,3c65d4,,
2026-07-22,dep,MSR746,MS746,Egyptair,LTFM,HECA,2026-07-22T00:50:00+00:00,,2026-07-22T01:06:12+00:00,2026-07-22T02:37:50+00:00,16,,scheduled,,,010207,,
2026-07-22,dep,THY848,TK848,Turkish Airlines,LTFM,OSDI,2026-07-22T01:10:00+00:00,,2026-07-22T01:18:14+00:00,2026-07-22T02:55:45+00:00,8,,scheduled,,,4bab23,,
2026-07-22,dep,THY6467,TK6467,Turkish Airlines,LTFM,LEMD,2026-07-22T01:05:00+00:00,,2026-07-22T01:20:55+00:00,2026-07-22T05:10:16+00:00,16,,scheduled,,,4ba9f6,,
2026-07-22,dep,AFR1391,AF1391,Air France,LTFM,LFPG,2026-07-22T01:25:00+00:00,,2026-07-22T01:34:13+00:00,2026-07-22T04:54:50+00:00,9,,scheduled,,,39bb25,,
2026-07-22,dep,DAH3019,AH3019,Air Algerie,LTFM,DAAG,2026-07-22T02:00:00+00:00,,2026-07-22T02:51:31+00:00,2026-07-22T06:08:28+00:00,52,,scheduled,,,39a2e0,,
2026-07-22,dep,THY6136,TK6136,Turkish Airlines,LTFM,VOMM,2026-07-22T01:30:00+00:00,,2026-07-22T03:51:42+00:00,2026-07-22T09:11:19+00:00,142,,scheduled,,,4bb156,,
2026-07-22,dep,THY3,TK3,Turkish Airlines,LTFM,KJFK,2026-07-22T04:20:00+00:00,2026-07-22T04:51:00+00:00,2026-07-22T04:53:16+00:00,2026-07-22T14:55:34+00:00,31,1,landed,,A1K,4ba946,2,
2026-07-22,dep,THY639,TK639,Turkish Airlines,LTFM,HLLM,2026-07-22T04:35:00+00:00,2026-07-22T05:02:00+00:00,2026-07-22T05:03:41+00:00,2026-07-22T07:20:38+00:00,27,3,active,,B3B,4bb275,2,
2026-07-22,dep,THY269,TK269,Turkish Airlines,LTFM,LUKK,2026-07-22T04:45:00+00:00,2026-07-22T05:07:00+00:00,2026-07-22T05:09:07+00:00,2026-07-22T05:22:35+00:00,22,,landed,,A8A,4bb066,2,
2026-07-22,dep,THY661,TK661,Turkish Airlines,LTFM,DTTA,2026-07-22T05:05:00+00:00,2026-07-22T05:22:00+00:00,2026-07-22T05:24:01+00:00,2026-07-22T07:39:12+00:00,17,,landed,,F9A,4bb214,2,
2026-07-22,dep,KNE2986,XY2986,flynas,LTFM,OEGS,2026-07-22T05:00:00+00:00,2026-07-22T05:28:00+00:00,2026-07-22T05:29:21+00:00,2026-07-22T07:14:59+00:00,28,4,active,,F12A,717c74,1,
2026-07-22,dep,THY844,TK844,Turkish Airlines,LTFM,OSAP,2026-07-22T04:40:00+00:00,,2026-07-22T05:33:31+00:00,2026-07-22T06:02:39+00:00,54,,active,,D16,4ba9c5,,
2026-07-22,dep,AEE441,A3441,Aegean Airlines,LTFM,LGMK,2026-07-22T05:10:00+00:00,2026-07-22T05:32:00+00:00,2026-07-22T05:33:42+00:00,2026-07-22T06:25:29+00:00,22,2,active,,A6B,4690f9,2,
2026-07-22,dep,FIA5326,5F5326,FlyOne,LTFM,LUKK,2026-07-22T06:40:00+00:00,2026-07-22T06:42:00+00:00,2026-07-22T06:44:16+00:00,2026-07-22T10:39:58+00:00,2,,active,,E2,504e86,2,
2026-07-22,dep,THY800,TK800,Turkish Airlines,LTFM,SKBO,2026-07-22T06:40:00+00:00,2026-07-22T07:24:00+00:00,2026-07-22T07:26:06+00:00,2026-07-22T19:59:38+00:00,44,2,active,,A1J,4bb0f0,2,
2026-07-22,dep,THY6286,TK6286,Turkish Airlines,LTFM,UZTT,2026-07-22T07:30:00+00:00,2026-07-22T08:02:00+00:00,2026-07-22T08:04:39+00:00,2026-07-22T21:58:30+00:00,32,175,scheduled,,,4ba893,3,
2026-07-22,dep,AEE991,A3991,Aegean Airlines,LTFM,LGAV,2026-07-22T07:40:00+00:00,2026-07-22T08:07:00+00:00,2026-07-22T08:09:33+00:00,2026-07-22T09:05:28+00:00,27,2,landed,,A3B,46b823,3,
2026-07-22,dep,IAW216,IA216,Iraqi Airways,LTFM,ORBI,2026-07-22T08:00:00+00:00,2026-07-22T08:13:00+00:00,2026-07-22T08:15:36+00:00,2026-07-22T08:39:59+00:00,13,,landed,,A11A,72866b,3,
2026-07-22,dep,MNB9405,MB9405,MNG Airlines,LTFM,LTFJ,2026-07-22T17:20:00+00:00,2026-07-22T17:45:00+00:00,2026-07-22T17:46:04+00:00,2026-07-22T18:13:55+00:00,25,,landed,,,4bb722,1,
2026-07-22,dep,MNB9345,MB9345,MNG Airlines,LTFM,EDDP,2026-07-22T18:50:00+00:00,2026-07-22T19:15:00+00:00,2026-07-22T19:16:33+00:00,2026-07-22T21:35:17+00:00,25,,landed,,,4bb470,2,
2026-07-22,dep,RJA5164,RJ5164,Royal Jordanian,LTFM,OJAI,2026-07-22T20:50:00+00:00,2026-07-22T21:32:00+00:00,2026-07-22T21:33:36+00:00,2026-07-22T23:18:12+00:00,42,5,landed,,B7B,744827,2,
2026-07-22,dep,TVF61ZZ,TO3415,Transavia France,LTFM,LFPO,2026-07-22T00:50:00+00:00,,2026-07-22T00:53:57+00:00,2026-07-22T04:13:39+00:00,4,,scheduled,,,39de4f,,fuzzy_callsign_match
2026-07-22,dep,THY9XT,TK1220,Turkish Airlines,LTFM,EDDB,2026-07-22T00:45:00+00:00,,2026-07-22T00:58:40+00:00,2026-07-22T03:24:58+00:00,14,,scheduled,,,4bb20e,,fuzzy_callsign_match
2026-07-22,dep,TVF51EN,TO3411,Transavia France,LTFM,LFPO,2026-07-22T01:05:00+00:00,,2026-07-22T01:33:08+00:00,2026-07-22T04:50:45+00:00,28,,scheduled,,,39348e,,fuzzy_callsign_match
2026-07-22,dep,THY7DZ,TK1927,Turkish Airlines,LTFM,EGBB,2026-07-22T06:55:00+00:00,2026-07-22T07:17:00+00:00,2026-07-22T04:21:04+00:00,2026-07-22T08:03:43+00:00,22,,landed,,F4B,4bb20c,-176,actuals_disagree|fuzzy_callsign_match
2026-07-22,dep,THY75P,TK6549,Turkish Airlines,LTFM,LHBP,2026-07-22T02:00:00+00:00,,2026-07-22T04:26:05+00:00,2026-07-22T05:57:11+00:00,146,,scheduled,,,4bb264,,fuzzy_callsign_match
2026-07-22,dep,THY2HR,TK2312,Turkish Airlines,LTFM,LTBJ,2026-07-22T05:00:00+00:00,2026-07-22T05:12:00+00:00,2026-07-22T04:30:28+00:00,2026-07-22T05:04:44+00:00,12,,landed,,G3C,4baac7,-42,fuzzy_callsign_match
2026-07-22,dep,THY3QX,TK1369,Turkish Airlines,LTFM,LMML,2026-07-22T04:20:00+00:00,2026-07-22T04:30:00+00:00,2026-07-22T04:31:43+00:00,2026-07-22T06:41:40+00:00,10,,landed,,F1B,4bb208,2,fuzzy_callsign_match
2026-07-22,dep,THY1LZ,TK1669,Turkish Airlines,LTFM,EDDH,2026-07-22T06:55:00+00:00,2026-07-22T07:09:00+00:00,2026-07-22T04:33:58+00:00,2026-07-22T07:18:28+00:00,14,,landed,,A10A,4bb285,-155,actuals_disagree|fuzzy_callsign_match
2026-07-22,dep,THY1QG,TK1951,Turkish Airlines,LTFM,EHAM,2026-07-22T04:15:00+00:00,2026-07-22T04:34:00+00:00,2026-07-22T04:35:30+00:00,2026-07-22T07:41:29+00:00,19,,landed,,B13,4ba9ea,2,fuzzy_callsign_match
2026-07-22,dep,THY8GY,TK1357,Turkish Airlines,LTFM,LEMD,2026-07-22T07:00:00+00:00,2026-07-22T07:18:00+00:00,2026-07-22T04:37:42+00:00,2026-07-22T08:30:58+00:00,18,,landed,,A1A,4ba9d3,-160,actuals_disagree|fuzzy_callsign_match
2026-07-22,dep,THY7WT,TK1821,Turkish Airlines,LTFM,LFPG,2026-07-22T04:15:00+00:00,2026-07-22T04:41:00+00:00,2026-07-22T04:43:05+00:00,2026-07-22T07:51:15+00:00,26,,landed,,A4F,4ba9ca,2,fuzzy_callsign_match
2026-07-22,dep,THY4XL,TK1629,Turkish Airlines,LTFM,EDDM,2026-07-22T04:25:00+00:00,2026-07-22T04:42:00+00:00,2026-07-22T04:43:32+00:00,2026-07-22T06:50:24+00:00,17,,landed,,F14,4bb193,2,fuzzy_callsign_match
2026-07-22,dep,THY1AD,TK437,Turkish Airlines,LTFM,LDDU,2026-07-22T04:30:00+00:00,2026-07-22T04:46:00+00:00,2026-07-22T04:47:51+00:00,2026-07-22T06:20:14+00:00,16,,landed,,A5B,4baa75,2,fuzzy_callsign_match
2026-07-22,dep,THY4CK,TK1793,Turkish Airlines,LTFM,ESSA,2026-07-22T04:25:00+00:00,2026-07-22T04:47:00+00:00,2026-07-22T04:49:01+00:00,2026-07-22T08:00:12+00:00,22,,landed,,B12B,4bb28d,2,fuzzy_callsign_match
2026-07-22,dep,THY7NU,TK1047,Turkish Airlines,LTFM,LRCL,2026-07-22T04:30:00+00:00,2026-07-22T04:49:00+00:00,2026-07-22T04:51:21+00:00,2026-07-22T05:58:28+00:00,19,,landed,,A1A,4bab27,2,fuzzy_callsign_match
2026-07-22,dep,THY2WM,TK1917,Turkish Airlines,LTFM,LSGG,2026-07-22T04:25:00+00:00,2026-07-22T04:50:00+00:00,2026-07-22T04:52:05+00:00,2026-07-22T07:42:43+00:00,25,8,landed,,A1E,4bb263,2,fuzzy_callsign_match
2026-07-22,dep,THY2EG,TK1081,Turkish Airlines,LTFM,LYBE,2026-07-22T04:30:00+00:00,2026-07-22T04:51:00+00:00,2026-07-22T04:53:00+00:00,2026-07-22T06:10:21+00:00,21,1,landed,,F6A,4baa70,2,fuzzy_callsign_match
2026-07-22,dep,THY2LP,TK1761,Turkish Airlines,LTFM,EFHK,2026-07-22T04:30:00+00:00,2026-07-22T04:52:00+00:00,2026-07-22T04:53:46+00:00,2026-07-22T08:05:28+00:00,22,,landed,,A1F,4bb206,2,fuzzy_callsign_match
2026-07-22,dep,THY6AG,TK1861,Turkish Airlines,LTFM,LIRF,2026-07-22T04:40:00+00:00,2026-07-22T04:54:00+00:00,2026-07-22T04:55:50+00:00,2026-07-22T07:06:58+00:00,14,,landed,,F15,4bb18f,2,fuzzy_callsign_match
2026-07-22,dep,THY7RS,TK1937,Turkish Airlines,LTFM,EBBR,2026-07-22T04:25:00+00:00,2026-07-22T04:55:00+00:00,2026-07-22T04:56:33+00:00,2026-07-22T07:47:41+00:00,30,2,landed,,B4,4ba930,2,fuzzy_callsign_match
2026-07-22,dep,THY65Y,TK1027,Turkish Airlines,LTFM,LBSF,2026-07-22T04:30:00+00:00,2026-07-22T04:56:00+00:00,2026-07-22T04:58:10+00:00,2026-07-22T05:42:27+00:00,26,,landed,,A4B,4bab29,2,fuzzy_callsign_match
2026-07-22,dep,THY9VT,TK1503,Turkish Airlines,LTFM,EDDN,2026-07-22T04:45:00+00:00,2026-07-22T04:59:00+00:00,2026-07-22T05:01:19+00:00,2026-07-22T07:27:18+00:00,14,,landed,,A3A,4ba90f,2,fuzzy_callsign_match
